,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
BP10,CC26,WEEKENDS/HOLIDAY,,,,0.2,,,,,,,,,,,,,,,,
BP10,CE1/DT16,WEEKDAY,,0.2,,,,,,,,,,,,,,,,,,
BP10,CG2,WEEKDAY,,,,,,,,0.1,,,,,,,,,,,,
BP10,CG2,WEEKENDS/HOLIDAY,,,,,0.2,,,,,0.2,,,,,,,,,,
BP10,DT13,WEEKDAY,,,,0.1,,,,,,,,,,,,,,,,
BP10,DT2,WEEKDAY,,,,0.1,,,,,,,,,,,,,,,,
BP10,DT27,WEEKENDS/HOLIDAY,,,,,,,,,,,,,0.1,,,,,,,
BP10,DT5,WEEKENDS/HOLIDAY,,,0.1,,,,,,,,,,,,,,,,,
BP10,EW1,WEEKENDS/HOLIDAY,,,,,,,,,,0.4,,,,,,,,,,
BP10,EW10,WEEKDAY,,,0.1,,,,,,,,,,,,,,,,,
BP10,EW10,WEEKENDS/HOLIDAY,,,,,,0.8,,,,,,,,,,,,,,
BP10,EW11,WEEKENDS/HOLIDAY,,,,,0.2,,,,0.1,,,0.1,,,,,,,,
BP10,EW12/DT14,WEEKDAY,,,,,,,,,0.1,,,0.1,,,,,,,,
BP10,EW12/DT14,WEEKENDS/HOLIDAY,,,,,,,,,0.1,,0.1,,,0.5,,,,,,
BP10,EW13/NS25,WEEKDAY,,,,,0.1,,,0.2,,0.1,,,,,,,,,,
BP10,EW13/NS25,WEEKENDS/HOLIDAY,,,,,,0.1,,0.1,0.5,0.4,0.1,0.1,0.5,,,,,,,
BP10,EW14/NS26,WEEKDAY,,,,1.0,,,,0.1,,,,,,,,,,,,
BP10,EW14/NS26,WEEKENDS/HOLIDAY,,,0.2,0.2,0.1,0.1,,,,,0.2,,,,,,,,,
BP10,EW15,WEEKDAY,,,0.4,0.1,,,0.1,,,0.1,,,,,0.1,0.1,,,,
BP10,EW15,WEEKENDS/HOLIDAY,,,,0.1,,,,,0.1,0.1,,0.1,0.1,0.1,,,,,,
BP10,EW16/NE3,WEEKDAY,,,0.1,0.2,0.1,0.1,,,,,,,,,,,,,,
BP10,EW16/NE3,WEEKENDS/HOLIDAY,,,,,,,,,,,0.1,,,0.1,,,,,,
BP10,EW17,WEEKDAY,,,,0.3,,0.3,0.1,0.2,0.2,0.5,0.1,0.2,,0.2,,,,,,
BP10,EW17,WEEKENDS/HOLIDAY,,,,0.4,,,0.4,0.5,0.1,0.8,0.6,0.1,0.1,0.8,0.2,0.2,0.2,,,
BP10,EW18,WEEKDAY,,0.4,1.0,1.5,0.1,0.2,0.6,0.1,0.1,0.2,0.1,,0.3,0.1,0.1,0.1,,0.1,,
BP10,EW18,WEEKENDS/HOLIDAY,,,0.9,,,0.2,0.8,,0.4,,0.1,,0.6,,0.2,,0.1,0.2,0.1,
BP10,EW19,WEEKDAY,,0.1,2.2,1.5,0.1,0.2,0.6,0.1,,0.1,0.1,,,0.1,,,0.1,,,
