,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,167.5,426.5,435.1,250.1,172.8,138.5,123.8,129.3,143.2,96.6,92.2,93.1,134.9,155.3,103.4,61.1,45.4,34.0,14.6,0.0,14.9,72.6,130.9,132.5,119.2,105.9,104.0,119.5,158.8,156.0,178.7,214.2,278.3,407.3,303.3,201.6,167.4,132.3,64.5
BP10,WEEKENDS/HOLIDAY,0.0,68.1,115.2,108.0,132.5,157.1,163.0,158.6,160.9,149.9,126.1,120.4,114.6,131.8,121.6,85.6,64.9,45.8,37.9,13.4,0.0,10.6,33.5,57.9,114.8,128.9,129.4,116.8,142.2,151.8,141.8,162.0,150.5,167.1,177.4,179.4,159.8,160.4,143.8,69.9
BP11,WEEKDAY,0.0,173.4,467.8,536.6,279.9,199.1,139.5,126.1,138.9,135.5,102.9,97.2,100.6,142.3,147.7,94.5,53.8,38.1,26.2,7.8,0.0,8.8,46.0,115.7,87.4,84.2,62.2,73.5,87.5,107.8,112.5,122.0,150.4,225.5,375.5,292.4,179.5,151.3,126.4,48.1
BP11,WEEKENDS/HOLIDAY,0.0,70.8,116.4,135.1,159.9,180.6,160.6,160.2,161.1,148.6,121.6,112.2,106.0,138.6,111.5,81.1,51.2,43.4,27.1,10.9,0.0,4.9,13.2,30.4,52.9,67.4,71.5,80.2,113.1,114.5,107.8,121.9,114.5,127.4,140.0,135.2,137.8,125.1,125.2,54.9
BP12,WEEKDAY,0.0,100.5,295.2,383.3,228.4,130.1,123.6,99.6,137.5,144.7,155.5,104.8,114.0,139.5,115.0,61.6,34.8,25.1,12.6,5.4,0.0,4.5,92.0,326.0,106.0,65.6,54.4,54.8,56.8,69.6,66.7,73.8,79.6,148.8,246.2,183.6,94.7,71.3,60.0,32.6
BP12,WEEKENDS/HOLIDAY,0.0,43.0,68.6,94.6,99.2,101.9,99.1,107.4,111.1,94.0,83.4,75.5,77.4,86.1,76.5,61.9,32.8,22.1,15.9,4.0,0.0,2.6,8.1,28.2,54.2,71.9,59.6,71.6,65.0,67.8,64.0,63.1,55.9,69.4,70.4,68.0,77.6,60.2,57.5,32.0
BP13,WEEKDAY,0.0,84.0,220.7,217.8,129.4,85.3,56.0,59.7,55.3,59.1,45.6,40.0,41.1,69.7,63.5,37.3,16.8,17.7,7.2,2.3,0.0,6.7,22.0,54.8,38.2,33.6,34.0,34.5,38.6,45.6,39.9,42.8,40.3,89.0,136.3,101.3,45.6,28.0,23.7,10.3
BP13,WEEKENDS/HOLIDAY,0.0,37.8,60.4,57.9,72.6,80.8,82.2,71.8,69.8,69.6,51.5,49.2,50.0,65.2,53.6,37.2,19.8,20.4,11.1,2.8,0.0,3.9,8.0,19.9,33.8,34.2,51.2,47.8,42.4,45.9,36.6,40.5,32.8,37.5,46.9,38.0,30.2,25.0,22.6,8.5
BP2,WEEKDAY,0.0,102.1,331.1,517.2,329.4,196.4,134.5,118.3,119.8,154.0,92.8,81.7,97.7,131.0,146.3,86.9,51.8,32.5,23.0,6.7,0.0,11.5,49.9,98.9,71.1,56.5,52.9,59.7,75.2,97.5,112.2,114.4,137.9,189.4,297.1,248.5,174.0,165.7,130.4,48.3
BP2,WEEKENDS/HOLIDAY,0.0,50.2,105.6,131.4,146.0,171.2,153.6,174.2,172.0,148.9,123.5,127.4,121.5,141.0,119.0,90.8,42.9,36.5,31.0,5.1,0.0,5.0,19.8,33.5,59.0,72.2,64.8,71.0,86.5,109.6,113.1,110.6,123.6,126.2,126.9,138.5,143.5,155.0,148.5,55.9
BP3,WEEKDAY,0.0,130.8,453.2,602.2,352.0,211.1,159.3,161.6,170.6,149.2,127.1,128.9,148.5,199.3,184.0,124.7,73.7,59.5,43.5,13.2,0.0,8.2,56.8,94.9,101.2,75.6,67.0,91.5,104.2,150.1,184.2,177.1,194.2,274.2,416.8,352.3,232.5,207.0,154.4,55.4
BP3,WEEKENDS/HOLIDAY,0.0,73.0,129.4,160.6,179.5,199.2,202.8,215.2,205.0,181.6,166.4,157.4,159.9,173.6,173.5,120.8,72.6,57.4,47.2,18.4,0.0,3.1,27.2,41.1,57.6,67.1,72.4,100.1,118.6,144.9,146.6,160.4,168.6,187.4,207.6,195.2,187.1,186.5,165.1,60.6
BP4,WEEKDAY,0.0,52.4,183.3,244.8,148.6,99.0,95.7,200.5,229.9,171.2,180.3,292.9,411.1,317.0,143.9,75.4,46.5,58.8,28.5,9.9,0.0,9.3,42.4,229.5,476.5,348.7,179.0,111.7,208.2,192.2,116.4,90.3,92.9,121.2,198.9,160.4,105.6,92.8,73.0,34.3
BP4,WEEKENDS/HOLIDAY,0.0,27.0,72.5,72.2,82.9,97.1,83.0,86.2,86.4,88.8,76.2,71.6,73.9,83.6,73.0,57.4,36.1,22.6,15.8,8.9,0.0,4.4,19.0,36.6,50.9,44.9,40.9,44.6,61.2,61.5,67.6,74.0,65.4,78.9,86.9,94.2,89.9,83.8,80.9,38.1
BP5,WEEKDAY,0.0,39.2,172.7,230.8,124.0,100.4,83.8,92.6,93.5,84.3,84.0,86.9,110.1,144.8,159.5,104.3,70.2,44.9,34.1,15.1,0.0,21.0,73.4,122.6,98.6,69.2,52.7,49.0,58.5,82.1,86.0,77.0,85.4,107.4,140.2,105.8,74.3,66.8,51.5,24.0
BP5,WEEKENDS/HOLIDAY,0.0,24.2,46.8,63.2,71.0,93.9,104.6,108.6,114.1,95.5,79.0,85.8,75.8,92.4,91.8,78.1,54.2,38.0,37.5,14.0,0.0,10.9,22.8,41.0,51.5,67.2,56.6,60.4,64.6,69.8,76.1,63.8,70.2,66.1,80.0,58.5,67.6,56.8,58.0,27.2
BP6/DT1,WEEKDAY,0.0,438.8,1947.8,3361.1,2717.0,1729.2,1256.5,1164.4,1228.5,1240.9,1134.3,1014.8,1096.4,1496.4,1874.8,1301.1,817.3,776.6,560.6,162.2,107.6,427.1,1028.4,1903.3,1442.5,942.5,825.2,867.3,1151.0,1222.6,1390.8,1404.5,1603.9,2254.8,3235.7,2484.5,1633.8,1329.8,1162.8,707.1
BP6/DT1,WEEKENDS/HOLIDAY,0.0,205.2,648.5,983.9,1195.2,1441.4,1452.0,1527.9,1582.8,1530.5,1363.0,1293.0,1272.0,1368.9,1319.6,967.5,791.4,795.0,644.8,205.1,131.9,176.6,325.2,592.9,826.8,925.0,967.4,1078.5,1264.9,1361.4,1287.2,1331.5,1407.9,1572.9,1674.6,1487.2,1429.1,1331.0,1348.4,738.8
BP7,WEEKDAY,0.0,75.0,161.0,209.8,101.1,46.7,29.9,31.2,34.6,32.1,34.7,30.6,31.0,53.0,58.9,37.3,17.3,14.5,9.2,3.2,0.0,14.0,31.2,54.8,34.3,36.4,26.2,31.5,41.9,50.0,60.1,57.7,69.1,93.3,148.5,102.2,67.5,59.9,47.5,22.6
BP7,WEEKENDS/HOLIDAY,0.0,22.2,18.8,27.2,35.8,46.4,44.5,41.1,37.1,43.1,30.2,30.4,26.6,30.9,36.0,27.8,15.5,12.2,7.8,4.4,0.0,4.6,7.9,16.5,34.2,37.1,29.1,34.0,43.1,65.9,51.9,53.1,45.4,50.2,63.5,49.4,51.4,55.1,51.2,24.8
BP8,WEEKDAY,0.0,81.1,193.3,231.5,124.3,71.8,56.1,58.8,72.2,96.1,68.4,80.2,89.4,140.3,177.1,116.6,68.8,60.6,42.8,12.7,0.0,44.0,132.7,202.3,134.5,80.8,47.5,45.5,50.9,61.7,66.0,68.7,78.0,114.9,173.3,132.3,82.4,64.7,59.0,23.2
