DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,2683.0,2899.0
WEEKDAY,BP11,2855.0,2390.0
WEEKDAY,BP12,2389.0,1934.0
WEEKDAY,BP13,1246.0,862.0
WEEKDAY,BP2,2610.0,2081.0
WEEKDAY,BP3,3310.0,2844.0
WEEKDAY,BP4,3300.0,3177.0
WEEKDAY,BP5,1824.0,1370.0
WEEKDAY,BP6/DT1,23350.0,25078.0
WEEKDAY,BP7,994.0,1013.0
WEEKDAY,BP8,1780.0,1595.0
WEEKDAY,BP9,2119.0,2057.0
WEEKDAY,CC10/DT26,9841.0,9329.0
WEEKDAY,CC11,9485.0,9632.0
WEEKDAY,CC12,4154.0,3478.0
WEEKDAY,CC14,4852.0,4614.0
WEEKDAY,CC16,6796.0,6492.0
WEEKDAY,CC17,2560.0,2424.0
WEEKDAY,CC19/DT9,3346.0,3648.0
WEEKDAY,CC2,1587.0,1689.0
WEEKDAY,CC20,3320.0,3337.0
WEEKDAY,CC21,5122.0,5475.0
WEEKDAY,CC22/EW21,13179.0,11775.0
WEEKDAY,CC23,5091.0,5030.0
WEEKDAY,CC24,11158.0,10795.0
WEEKDAY,CC25,4090.0,3841.0
WEEKDAY,CC26,2963.0,3151.0
WEEKDAY,CC27,1867.0,2000.0
WEEKDAY,CC28,2365.0,2313.0
WEEKDAY,CC3,2717.0,2477.0
WEEKDAY,CC4/DT15,6805.0,7051.0
WEEKDAY,CC5,1986.0,2064.0
WEEKDAY,CC6,3450.0,3531.0
WEEKDAY,CC7,4520.0,4509.0
WEEKDAY,CC8,5602.0,4771.0
WEEKDAY,CE1/DT16,9718.0,10085.0
WEEKDAY,CG1/DT35,6286.0,6240.0
WEEKDAY,CG2,4567.0,4558.0
WEEKDAY,DT10,3168.0,2392.0
WEEKDAY,DT13,4274.0,4587.0
WEEKDAY,DT17,5354.0,5334.0
WEEKDAY,DT18,6232.0,6712.0
WEEKDAY,DT2,1744.0,1323.0
WEEKDAY,DT20,2377.0,2565.0
WEEKDAY,DT21,2775.0,2562.0
WEEKDAY,DT22,3129.0,3349.0
WEEKDAY,DT23,1906.0,1864.0
WEEKDAY,DT24,3271.0,3220.0
WEEKDAY,DT25,2570.0,2696.0
WEEKDAY,DT27,4953.0,4841.0
WEEKDAY,DT28,5856.0,5651.0
WEEKDAY,DT29,4672.0,4297.0
WEEKDAY,DT3,4279.0,3748.0
WEEKDAY,DT30,4363.0,4367.0
WEEKDAY,DT31,4808.0,5237.0
WEEKDAY,DT33,10793.0,10300.0
WEEKDAY,DT34,2229.0,2078.0
WEEKDAY,DT5,6764.0,7070.0
WEEKDAY,DT6,3431.0,3203.0
WEEKDAY,DT7,2330.0,2382.0
WEEKDAY,DT8,3456.0,3105.0
WEEKDAY,EW1,19502.0,19012.0
WEEKDAY,EW10,6447.0,6586.0
WEEKDAY,EW11,10439.0,10368.0
WEEKDAY,EW12/DT14,22961.0,24318.0
WEEKDAY,EW13/NS25,17346.0,17870.0
WEEKDAY,EW14/NS26,19249.0,18717.0
WEEKDAY,EW15,17161.0,18065.0
WEEKDAY,EW16/NE3,18622.0,17958.0
WEEKDAY,EW17,16890.0,17646.0
WEEKDAY,EW18,10608.0,11043.0
WEEKDAY,EW19,8512.0,8181.0
WEEKDAY,EW2/DT32,32435.0,33629.0
WEEKDAY,EW20,9646.0,9205.0
WEEKDAY,EW22,8426.0,8271.0
WEEKDAY,EW23,27888.0,28415.0
WEEKDAY,EW24/NS1,46481.0,48662.0
WEEKDAY,EW25,5727.0,5025.0
WEEKDAY,EW26,22801.0,20319.0
WEEKDAY,EW27,31141.0,35288.0
WEEKDAY,EW28,20335.0,15796.0
WEEKDAY,EW29,11073.0,11648.0
WEEKDAY,EW3,11332.0,11353.0
WEEKDAY,EW30,2633.0,2311.0
WEEKDAY,EW31,2794.0,2404.0
WEEKDAY,EW32,2617.0,2439.0
WEEKDAY,EW33,1587.0,1497.0
WEEKDAY,EW4,9699.0,8578.0
WEEKDAY,EW5,20941.0,20628.0
WEEKDAY,EW6,5817.0,6990.0
WEEKDAY,EW7,8574.0,10073.0
WEEKDAY,EW8/CC9,25367.0,25748.0
WEEKDAY,EW9,12215.0,11817.0
WEEKDAY,NE1/CC29,17906.0,18453.0
WEEKDAY,NE10,9209.0,9387.0
WEEKDAY,NE11,3607.0,3303.0
WEEKDAY,NE12/CC13,16965.0,15492.0
WEEKDAY,NE13,13299.0,13624.0
WEEKDAY,NE14,20463.0,20093.0
WEEKDAY,NE15,9990.0,10010.0
WEEKDAY,NE16/STC,26798.0,28044.0
WEEKDAY,NE17/PTC,24105.0,23551.0
WEEKDAY,NE4/DT19,25166.0,24908.0
WEEKDAY,NE5,6222.0,6178.0
WEEKDAY,NE7/DT12,12392.0,12992.0
WEEKDAY,NE8,11810.0,13431.0
WEEKDAY,NE9,14634.0,13028.0
WEEKDAY,NS10,35084.0,30654.0
WEEKDAY,NS11,28197.0,28519.0
WEEKDAY,NS12,7876.0,6965.0
WEEKDAY,NS13,36202.0,38226.0
WEEKDAY,NS14,22937.0,20937.0
WEEKDAY,NS15,18090.0,16942.0
WEEKDAY,NS16,33483.0,36065.0
WEEKDAY,NS17/CC15,13460.0,8301.0
WEEKDAY,NS18,10263.0,9278.0
WEEKDAY,NS19,23901.0,25384.0
WEEKDAY,NS2,18582.0,19568.0
WEEKDAY,NS20,22909.0,22457.0
WEEKDAY,NS21/DT11,29894.0,30732.0
WEEKDAY,NS22,27829.0,29712.0
WEEKDAY,NS23,15380.0,16714.0
WEEKDAY,NS24/NE6/CC1,16949.0,15473.0
WEEKDAY,NS27/CE2,1455.0,1385.0
WEEKDAY,NS28,797.0,707.0
WEEKDAY,NS3,13537.0,13100.0
WEEKDAY,NS4/BP1,25931.0,27859.0
WEEKDAY,NS5,21833.0,20989.0
WEEKDAY,NS7,3657.0,3972.0
WEEKDAY,NS8,16732.0,13424.0
WEEKDAY,NS9/TE2,27970.0,34653.0
WEEKDAY,PE1,2315.0,2339.0
WEEKDAY,PE2,3759.0,3637.0
WEEKDAY,PE3,3655.0,3739.0
WEEKDAY,PE4,1074.0,1069.0
WEEKDAY,PE5,3740.0,3646.0
WEEKDAY,PE6,4259.0,4140.0
WEEKDAY,PE7,2731.0,2666.0
WEEKDAY,PW1,399.0,423.0
WEEKDAY,PW3,193.0,222.0
WEEKDAY,PW4,428.0,452.0
WEEKDAY,PW5,1635.0,1568.0
WEEKDAY,PW6,877.0,826.0
WEEKDAY,PW7,1448.0,1666.0
WEEKDAY,SE1,3104.0,3068.0
WEEKDAY,SE2,3793.0,3554.0
WEEKDAY,SE3,2067.0,1992.0
WEEKDAY,SE4,2359.0,2289.0
WEEKDAY,SE5,2103.0,2171.0
WEEKDAY,SW1,1447.0,1601.0
WEEKDAY,SW2,2323.0,2182.0
WEEKDAY,SW3,1827.0,1775.0
WEEKDAY,SW4,843.0,892.0
WEEKDAY,SW5,5104.0,4673.0
WEEKDAY,SW6,2602.0,2521.0
WEEKDAY,SW7,1914.0,1767.0
WEEKDAY,SW8,1540.0,1542.0
WEEKDAY,TE1,1025.0,931.0
WEEKDAY,TE3,2366.0,1764.0
WEEKENDS/HOLIDAY,BP10,2026.0,1945.0
WEEKENDS/HOLIDAY,BP11,2122.0,1456.0
WEEKENDS/HOLIDAY,BP12,1364.0,902.0
WEEKENDS/HOLIDAY,BP13,934.0,486.0
WEEKENDS/HOLIDAY,BP2,2112.0,1417.0
