DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,2682.9,2898.7000000000007
WEEKDAY,BP11,2855.3,2390.0000000000005
WEEKDAY,BP12,2389.2,1934.2
WEEKDAY,BP13,1245.2000000000003,861.8
WEEKDAY,BP2,2610.0,2081.0
WEEKDAY,BP3,3309.4,2844.2
WEEKDAY,BP4,3300.5,3176.8999999999996
WEEKDAY,BP5,1823.9,1370.1999999999998
WEEKDAY,BP6/DT1,23349.600000000002,25077.5
WEEKDAY,BP7,994.2999999999998,1013.1
WEEKDAY,BP8,1780.1000000000004,1595.0999999999997
WEEKDAY,BP9,2118.6000000000004,2057.4
WEEKDAY,CC10/DT26,9841.0,9328.699999999999
WEEKDAY,CC11,9485.3,9631.6
WEEKDAY,CC12,4154.4,3478.3999999999996
WEEKDAY,CC14,4852.299999999999,4614.4
WEEKDAY,CC16,6796.100000000001,6491.4
WEEKDAY,CC17,2560.4,2424.1
WEEKDAY,CC19/DT9,3345.5999999999995,3648.1
WEEKDAY,CC2,1587.1000000000001,1688.3999999999999
WEEKDAY,CC20,3320.2000000000003,3336.7000000000007
WEEKDAY,CC21,5122.0,5475.200000000001
WEEKDAY,CC22/EW21,13179.399999999998,11775.199999999999
WEEKDAY,CC23,5090.899999999999,5030.1
WEEKDAY,CC24,11157.999999999996,10795.000000000002
WEEKDAY,CC25,4090.199999999999,3841.3000000000006
WEEKDAY,CC26,2962.4000000000005,3150.7999999999993
WEEKDAY,CC27,1866.6,2000.3999999999999
WEEKDAY,CC28,2364.7,2312.6000000000004
WEEKDAY,CC3,2717.3999999999996,2476.8999999999996
WEEKDAY,CC4/DT15,6804.8,7050.4
WEEKDAY,CC5,1985.8,2064.1
WEEKDAY,CC6,3450.000000000001,3530.7999999999997
WEEKDAY,CC7,4519.899999999999,4508.599999999999
WEEKDAY,CC8,5601.6,4770.8
WEEKDAY,CE1/DT16,9717.900000000001,10084.900000000001
WEEKDAY,CG1/DT35,6285.700000000001,6239.500000000001
WEEKDAY,CG2,4566.599999999999,4558.0
WEEKDAY,DT10,3167.600000000001,2392.1
WEEKDAY,DT13,4273.9,4587.6
WEEKDAY,DT17,5354.0999999999985,5334.099999999999
WEEKDAY,DT18,6231.599999999999,6712.499999999999
WEEKDAY,DT2,1744.0000000000002,1323.0
WEEKDAY,DT20,2376.4,2564.8999999999996
WEEKDAY,DT21,2774.7000000000003,2562.3
WEEKDAY,DT22,3129.1,3348.5
WEEKDAY,DT23,1905.7000000000005,1864.2
WEEKDAY,DT24,3271.1000000000004,3220.1
WEEKDAY,DT25,2570.2000000000003,2696.1
WEEKDAY,DT27,4952.7,4841.5
WEEKDAY,DT28,5856.2,5651.099999999999
WEEKDAY,DT29,4672.299999999998,4296.6
WEEKDAY,DT3,4279.2,3747.4999999999995
WEEKDAY,DT30,4363.3,4366.8
WEEKDAY,DT31,4808.0,5236.5999999999985
WEEKDAY,DT33,10792.9,10299.599999999997
WEEKDAY,DT34,2229.1000000000004,2077.9999999999995
WEEKDAY,DT5,6763.399999999999,7070.099999999999
WEEKDAY,DT6,3430.8,3202.6
WEEKDAY,DT7,2330.1,2381.7999999999997
WEEKDAY,DT8,3455.7999999999997,3104.7000000000003
WEEKDAY,EW1,19502.1,19011.7
WEEKDAY,EW10,6447.0,6586.0
WEEKDAY,EW11,10439.2,10368.2
WEEKDAY,EW12/DT14,22961.2,24317.9
WEEKDAY,EW13/NS25,17345.8,17869.7
WEEKDAY,EW14/NS26,19248.800000000003,18717.199999999997
WEEKDAY,EW15,17160.699999999997,18065.1
WEEKDAY,EW16/NE3,18622.3,17958.300000000003
WEEKDAY,EW17,16890.5,17646.199999999997
WEEKDAY,EW18,10608.6,11043.199999999999
WEEKDAY,EW19,8512.099999999999,8181.5
WEEKDAY,EW2/DT32,32435.299999999996,33628.6
WEEKDAY,EW20,9645.900000000001,9205.6
WEEKDAY,EW22,8426.2,8271.2
WEEKDAY,EW23,27888.100000000002,28414.999999999996
WEEKDAY,EW24/NS1,46480.799999999996,48661.59999999999
WEEKDAY,EW25,5727.1,5024.8
WEEKDAY,EW26,22800.8,20318.9
WEEKDAY,EW27,31140.800000000003,35287.600000000006
