,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,163.4,433.9,439.2,239.5,160.3,123.7,114.9,116.6,127.9,87.9,86.9,92.0,123.8,147.1,94.6,54.6,37.7,27.8,11.1,0.0,13.4,70.7,139.7,119.3,108.3,93.3,95.8,113.4,158.1,159.6,182.9,215.0,262.3,363.3,284.4,186.9,157.2,114.3,60.8
BP10,WEEKENDS/HOLIDAY,0.0,77.2,113.0,113.4,121.3,145.1,162.9,152.9,151.2,146.1,131.5,119.3,107.6,116.3,114.6,93.1,61.2,39.5,44.5,15.8,0.0,7.2,27.3,46.6,84.0,106.9,100.9,104.4,118.9,119.8,122.0,129.6,125.0,133.1,143.0,137.4,136.0,130.5,113.4,59.1
BP11,WEEKDAY,0.0,159.1,486.1,539.4,268.4,176.4,111.4,111.4,122.5,126.8,90.0,90.3,88.9,129.3,152.4,88.3,49.5,33.6,23.9,7.6,0.0,8.8,52.4,132.1,88.7,81.4,55.4,63.7,83.0,109.9,119.0,131.3,153.0,240.1,350.4,272.0,155.9,141.7,108.8,42.4
BP11,WEEKENDS/HOLIDAY,0.0,73.4,119.8,123.6,149.7,180.1,169.1,164.8,166.7,150.0,125.4,111.7,106.6,120.9,124.0,89.3,61.0,40.7,31.5,13.3,0.0,3.6,11.1,29.1,46.8,64.0,57.9,76.8,89.3,98.4,91.4,97.8,90.7,106.0,116.9,103.9,111.9,111.3,106.4,42.3
BP12,WEEKDAY,0.0,91.9,301.4,375.0,209.3,104.9,78.8,85.3,140.4,161.6,180.2,114.0,146.7,152.9,116.1,56.9,30.9,27.1,11.8,4.0,0.0,4.4,104.7,422.3,115.5,56.4,44.7,45.8,53.8,72.3,71.1,82.9,81.0,149.9,217.1,170.7,86.7,67.4,56.9,30.6
BP12,WEEKENDS/HOLIDAY,0.0,41.4,70.7,94.4,102.9,100.1,102.7,108.0,106.1,103.6,82.7,71.3,74.9,88.6,72.2,57.2,34.0,26.3,20.5,6.0,0.0,2.7,8.4,25.3,48.6,55.1,53.6,56.9,53.5,59.1,58.5,59.8,52.4,56.3,64.7,52.5,58.8,56.9,48.1,30.9
BP13,WEEKDAY,0.0,79.5,225.5,220.7,124.4,76.3,56.0,51.7,54.0,53.1,42.5,36.6,35.4,61.9,56.3,32.7,15.4,13.9,7.1,2.2,0.0,7.0,34.6,61.9,34.8,29.6,29.9,32.9,37.5,50.2,46.2,49.7,40.9,83.5,130.8,96.0,41.3,26.4,18.2,10.4
BP13,WEEKENDS/HOLIDAY,0.0,36.8,55.4,59.3,72.0,75.9,84.6,73.4,62.6,61.8,59.2,55.8,46.1,54.7,51.8,33.6,18.9,20.4,7.4,4.6,0.0,3.5,6.5,17.5,26.8,28.2,39.2,35.0,36.4,37.9,30.0,31.6,30.1,27.4,32.0,29.2,27.5,18.8,19.1,9.7
BP2,WEEKDAY,0.0,95.8,347.7,522.2,302.0,174.6,115.6,96.9,110.2,146.6,83.9,76.8,94.1,119.3,138.4,81.5,49.4,28.1,21.9,5.0,0.0,13.0,52.8,100.3,66.9,57.1,41.4,45.0,68.3,91.5,115.7,131.4,140.3,189.2,281.3,218.1,158.6,152.0,118.4,39.7
BP2,WEEKENDS/HOLIDAY,0.0,50.6,107.2,125.5,146.8,168.6,175.4,176.5,181.8,150.9,125.4,121.2,109.3,132.1,123.1,89.1,54.5,38.5,29.5,5.9,0.0,6.6,17.0,29.8,45.5,53.8,44.3,61.5,73.4,93.9,94.2,94.7,93.8,98.4,103.9,100.9,115.4,125.3,118.8,46.2
BP3,WEEKDAY,0.0,120.7,477.0,590.8,322.1,191.9,139.8,145.6,155.4,129.0,115.5,116.0,149.8,191.0,172.0,117.1,70.8,52.5,41.1,11.3,0.0,5.5,54.6,103.6,100.7,65.2,56.2,78.9,95.9,144.2,192.7,193.4,199.1,276.0,391.6,309.0,215.9,183.7,134.5,43.5
BP3,WEEKENDS/HOLIDAY,0.0,73.7,130.0,159.1,176.9,217.8,219.5,227.8,213.1,196.9,161.7,156.6,160.0,184.7,165.6,134.9,85.7,58.6,45.1,15.3,0.0,2.0,17.8,31.7,50.2,58.3,65.1,89.6,102.6,125.6,131.6,134.5,137.0,153.6,151.4,152.3,162.3,154.2,139.4,47.3
BP4,WEEKDAY,0.0,50.5,185.1,236.9,139.0,94.3,91.0,227.4,300.3,170.5,216.9,345.1,488.2,410.8,130.9,64.7,46.7,67.0,28.2,7.0,0.0,8.2,39.0,301.0,629.1,406.6,181.3,112.1,247.3,200.7,115.9,99.4,96.7,116.0,200.9,144.9,99.0,85.2,66.0,27.6
BP4,WEEKENDS/HOLIDAY,0.0,27.2,72.0,71.2,84.6,88.6,84.1,96.1,95.6,97.7,79.9,76.5,80.7,80.1,77.9,53.0,36.9,26.7,20.9,7.4,0.0,4.2,12.9,31.1,40.5,36.5,32.6,36.0,47.8,53.2,58.3,64.0,61.8,69.9,71.7,74.6,63.5,70.7,65.6,30.7
BP5,WEEKDAY,0.0,39.9,188.5,242.9,122.7,92.2,79.5,76.6,84.4,86.6,80.6,91.7,102.4,142.8,150.0,96.6,60.2,44.0,31.2,11.1,0.0,18.9,80.1,138.5,92.0,59.3,43.0,42.1,57.9,75.4,85.0,80.9,85.1,102.4,127.5,93.5,67.6,59.8,43.3,17.9
BP5,WEEKENDS/HOLIDAY,0.0,27.0,45.7,60.8,75.8,93.5,99.8,111.5,127.0,96.8,97.3,89.6,85.2,98.8,82.8,80.0,61.5,50.5,39.0,12.5,0.0,8.8,22.3,30.5,47.2,51.2,43.9,49.2,58.1,62.3,56.6,58.0,55.7,53.6,66.2,52.9,59.4,59.7,41.1,22.2
BP6/DT1,WEEKDAY,0.0,404.5,1995.2,3290.4,2454.0,1514.0,1063.9,966.7,1065.6,1083.4,1055.9,962.0,1039.6,1433.8,1739.2,1194.4,753.1,697.9,494.6,141.4,98.7,399.2,1053.2,1903.3,1316.4,852.4,684.4,715.3,1001.4,1126.7,1433.1,1398.3,1575.1,2162.9,2892.1,2194.6,1474.7,1154.0,1008.7,633.0
BP6/DT1,WEEKENDS/HOLIDAY,0.0,168.3,551.8,801.3,943.3,1125.8,1196.6,1283.1,1280.4,1261.6,1148.0,1038.9,990.1,1073.4,1033.9,769.2,630.2,661.0,508.4,154.7,113.7,146.1,267.2,476.5,666.8,727.9,787.9,890.6,1009.1,1092.8,1081.0,1107.1,1094.9,1217.0,1322.7,1120.7,1112.2,1102.4,1078.6,621.4
BP7,WEEKDAY,0.0,72.1,164.0,214.2,95.7,45.6,26.0,30.3,34.1,32.0,41.3,28.0,33.3,48.1,50.0,32.8,18.2,14.0,10.5,4.1,0.0,15.2,33.2,64.8,32.9,32.5,22.2,25.0,36.2,47.5,59.8,59.3,72.4,94.6,138.5,91.9,65.6,57.7,45.6,18.2
BP7,WEEKENDS/HOLIDAY,0.0,23.0,19.6,26.0,36.6,46.5,43.8,46.6,44.6,36.6,31.1,37.4,30.8,35.2,30.7,25.4,18.8,14.7,14.7,3.8,0.0,4.2,6.3,14.3,24.5,27.4,25.3,30.5,42.8,41.6,44.7,44.8,43.9,46.1,49.0,43.8,45.1,51.9,43.9,18.8
BP8,WEEKDAY,0.0,75.2,194.5,241.9,114.8,63.0,47.9,59.2,65.4,110.8,67.3,85.8,86.4,130.0,161.7,109.1,63.5,56.5,35.9,11.2,0.0,39.6,132.6,207.0,130.9,69.4,42.1,40.7,51.3,62.7,68.9,65.7,78.3,112.1,161.7,119.3,73.1,65.8,53.3,20.6
