PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,2471.0,2591.0
BP11,2619.0,2089.0
BP12,2058.0,1601.0
BP13,1145.0,741.0
BP2,2449.0,1867.0
BP3,3140.0,2542.0
BP4,2641.0,2451.0
BP5,1698.0,1218.0
BP6/DT1,21179.0,22484.0
BP7,856.0,896.0
BP8,1594.0,1378.0
BP9,1986.0,1746.0
CC10/DT26,9113.0,8208.0
CC11,7981.0,7787.0
CC12,3510.0,2901.0
CC14,4265.0,3917.0
CC16,5883.0,5510.0
CC17,2237.0,2099.0
CC19/DT9,3792.0,3869.0
CC2,1514.0,1518.0
CC20,3033.0,2915.0
CC21,5220.0,5165.0
CC22/EW21,11848.0,10315.0
CC23,4040.0,3907.0
CC24,8743.0,8287.0
CC25,3822.0,3388.0
CC26,2633.0,2677.0
CC27,1623.0,1716.0
CC28,2323.0,2144.0
CC3,3110.0,2593.0
CC4/DT15,6922.0,6830.0
CC5,2069.0,2035.0
CC6,4101.0,3789.0
CC7,4211.0,4097.0
CC8,5065.0,4254.0
CE1/DT16,11427.0,10900.0
CG1/DT35,6032.0,5714.0
CG2,5309.0,4969.0
DT1/PB6,1174.0,0.0
DT10,2745.0,2008.0
DT13,4309.0,4394.0
DT17,4304.0,4159.0
DT18,5052.0,5301.0
DT2,1458.0,1097.0
DT20,2353.0,2436.0
DT21,2720.0,2381.0
DT22,3190.0,3263.0
DT23,1616.0,1533.0
DT24,3076.0,2886.0
DT25,2297.0,2296.0
DT27,4298.0,4032.0
DT28,5186.0,4777.0
DT29,4368.0,3816.0
DT3,4198.0,3434.0
DT30,4165.0,3922.0
DT31,4500.0,4634.0
DT33,10167.0,9151.0
DT34,2106.0,1859.0
DT5,7045.0,6795.0
DT6,3129.0,2812.0
DT7,2096.0,2100.0
DT8,2787.0,2465.0
EW1,18979.0,17316.0
EW10,6596.0,6349.0
EW11,9912.0,9380.0
EW12/DT14,25430.0,25196.0
EW13/NS25,19659.0,18774.0
EW14/NS26,15656.0,14759.0
EW15,15041.0,15181.0
EW16/NE3,16028.0,14890.0
EW17,16462.0,16281.0
EW18,9865.0,9734.0
EW19,8031.0,7430.0
EW2/DT32,32246.0,31217.0
EW20,9051.0,8230.0
EW22,6509.0,6331.0
EW23,26540.0,25573.0
EW24/NS1,46831.0,46099.0
EW25,5426.0,4652.0
EW26,21742.0,18326.0
EW27,29910.0,31917.0
EW28,18658.0,13868.0
EW29,9556.0,9684.0
EW3,10938.0,10333.0
EW30,2153.0,1841.0
EW31,2332.0,1934.0
EW32,2166.0,1938.0
EW33,1412.0,1280.0
EW4,9001.0,7634.0
EW5,20957.0,19437.0
EW6,5824.0,6492.0
EW7,8477.0,9263.0
EW8/CC9,26767.0,25603.0
EW9,11848.0,10963.0
NE1/CC29,20871.0,19805.0
NE10,8658.0,8370.0
NE11,3182.0,2823.0
NE12/CC13,16875.0,14656.0
NE13,13489.0,12862.0
NE14,20021.0,18484.0
NE15,9819.0,9215.0
NE16/STC,26513.0,26104.0
NE17/PTC,24519.0,22471.0
NE4/DT19,26186.0,24471.0
NE5,6089.0,5802.0
NE7/DT12,12922.0,12877.0
NE8,12836.0,13486.0
NE9,14178.0,11947.0
NS10,32906.0,27313.0
NS11,27142.0,25790.0
NS12,7452.0,6267.0
NS13,35096.0,34887.0
NS14,21645.0,18731.0
NS15,15153.0,13684.0
NS16,32679.0,33177.0
NS17/CC15,12370.0,7326.0
NS18,9870.0,8510.0
NS19,23750.0,23624.0
NS2,17648.0,17568.0
NS20,20681.0,19377.0
NS21/DT11,29256.0,28356.0
NS22,31399.0,30953.0
NS23,17123.0,17239.0
NS24/NE6/CC1,18463.0,15887.0
NS27/CE2,1292.0,1275.0
NS28,1100.0,901.0
NS3,13105.0,12008.0
NS4/BP1,24471.0,24812.0
NS5,20533.0,18778.0
NS7,3634.0,3676.0
NS8,15791.0,12152.0
NS9/TE2,27682.0,31677.0
PE1,2264.0,2119.0
PE2,3563.0,3260.0
PE3,3557.0,3408.0
PE4,1112.0,1052.0
PE5,3485.0,3203.0
PE6,4224.0,3844.0
PE7,2628.0,2412.0
PW1,512.0,475.0
PW3,169.0,201.0
PW4,424.0,414.0
PW5,1491.0,1362.0
PW6,835.0,740.0
PW7,1379.0,1497.0
SE1,2927.0,2740.0
SE2,3688.0,3264.0
SE3,1979.0,1799.0
SE4,2383.0,2153.0
SE5,1928.0,1878.0
SW1,1331.0,1389.0
SW2,2288.0,2016.0
SW3,1703.0,1574.0
SW4,816.0,808.0
SW5,5019.0,4390.0
SW6,2408.0,2186.0
SW7,1850.0,1609.0
SW8,1431.0,1343.0
TE1,794.0,712.0
TE3,2062.0,1468.0
