ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,54.0
BP10,BP12,59.0
BP10,BP13,50.0
BP10,BP2,16.0
BP10,BP3,22.0
BP10,BP4,15.0
BP10,BP5,42.0
BP10,BP7,29.0
BP10,BP8,58.0
BP10,BP9,27.0
BP10,CC11,0.0
BP10,CC14,0.0
BP10,CC16,0.0
BP10,CC22/EW21,3.0
BP10,CC23,0.0
BP10,CC24,1.0
BP10,CC25,0.0
BP10,CC26,0.0
BP10,CC28,0.0
BP10,CE1/DT16,0.0
BP10,DT1/PB6,339.0
BP10,DT22,0.0
BP10,EW1,0.0
BP10,EW11,0.0
BP10,EW12/DT14,0.0
BP10,EW13/NS25,0.0
BP10,EW14/NS26,1.0
BP10,EW15,0.0
BP10,EW16/NE3,0.0
BP10,EW17,0.0
BP10,EW18,3.0
BP10,EW19,2.0
BP10,EW2/DT32,0.0
BP10,EW20,6.0
BP10,EW22,1.0
BP10,EW23,12.0
BP10,EW24/NS1,60.0
BP10,EW25,0.0
BP10,EW26,6.0
BP10,EW27,16.0
BP10,EW28,7.0
BP10,EW29,14.0
BP10,EW30,5.0
BP10,EW31,3.0
BP10,EW32,3.0
BP10,EW33,1.0
BP10,EW4,0.0
BP10,EW5,0.0
BP10,EW7,0.0
BP10,EW8/CC9,0.0
BP10,EW9,0.0
BP10,NE1/CC29,0.0
BP10,NE13,0.0
BP10,NE17/PTC,0.0
BP10,NE4/DT19,0.0
BP10,NE7/DT12,0.0
BP10,NS10,7.0
BP10,NS11,6.0
BP10,NS12,0.0
BP10,NS13,6.0
BP10,NS14,3.0
BP10,NS15,3.0
BP10,NS16,4.0
BP10,NS17/CC15,1.0
BP10,NS18,0.0
BP10,NS19,0.0
BP10,NS2,14.0
BP10,NS20,0.0
BP10,NS21/DT11,0.0
BP10,NS22,0.0
BP10,NS23,0.0
BP10,NS28,0.0
BP10,NS3,13.0
BP10,NS4/BP1,86.0
BP10,NS5,16.0
BP10,NS7,6.0
BP10,NS8,4.0
BP10,NS9/TE2,12.0
BP10,TE3,1.0
BP11,BP10,14.0
BP11,BP12,30.0
BP11,BP13,25.0
BP11,BP2,14.0
BP11,BP3,21.0
BP11,BP4,12.0
BP11,BP5,35.0
BP11,BP7,15.0
BP11,BP8,32.0
BP11,BP9,24.0
BP11,CC11,0.0
BP11,CC12,0.0
BP11,CC19/DT9,0.0
BP11,CC21,0.0
BP11,CC22/EW21,2.0
BP11,CC23,0.0
BP11,CC24,0.0
BP11,CC25,0.0
