PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,1068.0,1197.0
BP11,1016.0,892.0
BP12,635.0,561.0
BP13,449.0,345.0
BP2,807.0,707.0
BP3,1154.0,997.0
BP4,575.0,541.0
BP5,669.0,499.0
BP7,346.0,412.0
BP8,637.0,592.0
BP9,821.0,673.0
CC10/DT26,3293.0,3137.0
CC11,3153.0,3135.0
CC12,729.0,708.0
CC14,876.0,847.0
CC16,1299.0,1338.0
CC17,618.0,584.0
CC19/DT9,927.0,957.0
CC2,474.0,446.0
CC20,827.0,866.0
CC21,1381.0,1449.0
CC22/EW21,3230.0,3117.0
CC23,1243.0,1294.0
CC24,3943.0,3745.0
CC25,1669.0,1587.0
CC26,1541.0,1603.0
CC27,566.0,590.0
CC28,880.0,849.0
CC3,579.0,558.0
CC4/DT15,1165.0,1100.0
CC5,541.0,554.0
CC6,1327.0,1259.0
CC7,1028.0,1115.0
CC8,1269.0,1196.0
CE1/DT16,506.0,480.0
CG1/DT35,2622.0,2697.0
CG2,1837.0,1731.0
DT1/PB6,6564.0,7062.0
DT10,563.0,473.0
DT13,1105.0,1091.0
DT17,1347.0,1316.0
DT18,1156.0,1246.0
DT2,291.0,252.0
DT20,662.0,694.0
DT21,703.0,636.0
DT22,1017.0,1094.0
DT23,504.0,502.0
DT24,1174.0,1212.0
DT25,736.0,779.0
DT27,1284.0,1312.0
DT28,1819.0,1776.0
DT29,1616.0,1478.0
DT3,941.0,813.0
DT30,1303.0,1247.0
DT31,1746.0,1883.0
DT33,3488.0,3346.0
DT34,737.0,647.0
DT5,1597.0,1607.0
DT6,568.0,561.0
DT7,345.0,445.0
DT8,365.0,374.0
EW1,5932.0,5723.0
EW10,2351.0,2322.0
EW11,3940.0,3905.0
EW12/DT14,4901.0,4961.0
EW13/NS25,3897.0,3918.0
EW14/NS26,4147.0,4108.0
EW15,4104.0,4382.0
EW16/NE3,7728.0,7247.0
EW17,5864.0,6136.0
EW18,3187.0,3364.0
EW19,2595.0,2423.0
EW2/DT32,10946.0,11187.0
EW20,3700.0,3553.0
EW22,1001.0,1064.0
EW23,9244.0,9474.0
EW24/NS1,16385.0,17057.0
EW25,1890.0,1672.0
EW26,8731.0,7734.0
EW27,11435.0,12986.0
EW28,6722.0,5405.0
EW29,5256.0,5646.0
EW3,3869.0,3779.0
EW30,1329.0,1186.0
EW31,1238.0,1029.0
EW32,1339.0,1216.0
EW33,856.0,754.0
EW4,2772.0,2447.0
EW5,7424.0,7423.0
EW6,1866.0,2188.0
EW7,3206.0,3631.0
EW8/CC9,7880.0,8057.0
EW9,3779.0,3851.0
NE1/CC29,5063.0,5128.0
NE10,2726.0,2826.0
NE11,812.0,757.0
NE12/CC13,4821.0,4498.0
NE13,4158.0,4112.0
NE14,6738.0,6724.0
NE15,3113.0,3145.0
NE16/STC,9487.0,9634.0
NE17/PTC,7963.0,7495.0
NE4/DT19,7725.0,7812.0
NE5,1465.0,1369.0
NE7/DT12,5122.0,5469.0
NE8,4234.0,4798.0
NE9,5613.0,4833.0
NS10,12714.0,11360.0
NS11,9825.0,10049.0
NS12,2748.0,2325.0
NS13,12412.0,13057.0
NS14,7717.0,7013.0
NS15,4261.0,3946.0
NS16,11616.0,12610.0
NS17/CC15,2820.0,2224.0
NS18,3846.0,3613.0
NS19,8418.0,9101.0
NS2,6671.0,7031.0
NS20,9459.0,8984.0
NS21/DT11,6925.0,7036.0
NS22,7196.0,7699.0
NS23,3253.0,3495.0
NS24/NE6/CC1,3657.0,3231.0
NS27/CE2,451.0,442.0
NS28,417.0,370.0
NS3,5095.0,5016.0
NS4/BP1,9209.0,9901.0
NS5,7347.0,7073.0
NS7,1816.0,1811.0
NS8,6834.0,5584.0
NS9/TE2,10053.0,12363.0
PE1,741.0,644.0
PE2,1092.0,1061.0
PE3,1175.0,1140.0
PE4,284.0,333.0
PE5,972.0,998.0
PE6,1439.0,1425.0
PE7,719.0,789.0
PW1,36.0,29.0
PW3,36.0,38.0
PW4,48.0,49.0
PW5,530.0,544.0
PW6,234.0,250.0
PW7,344.0,478.0
SE1,900.0,807.0
SE2,1321.0,1233.0
SE3,699.0,651.0
SE4,897.0,835.0
SE5,530.0,592.0
SW1,460.0,704.0
SW2,631.0,671.0
SW3,580.0,612.0
SW4,237.0,226.0
SW5,1708.0,1611.0
SW6,747.0,667.0
SW7,602.0,541.0
SW8,479.0,425.0
TE1,180.0,186.0
TE3,448.0,358.0
