,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.7,0.6,1.9,4.2,5.4,3.8,4.9,4.5,4.3,3.1,3.3,4.1,3.6,2.9,4.1,1.7,0.5,1.1,0.4
BP10,BP11,WEEKENDS/HOLIDAY,,0.1,1.1,2.2,4.4,3.9,4.0,4.5,5.8,3.9,2.8,2.5,4.9,3.3,3.5,2.4,1.4,1.1,0.3,0.2
BP10,BP12,WEEKDAY,,0.9,1.2,3.3,10.4,7.3,6.2,5.3,4.2,3.5,1.5,1.8,3.1,2.2,4.1,2.7,1.3,0.9,0.4,
BP10,BP12,WEEKENDS/HOLIDAY,,0.4,1.2,3.5,7.1,8.3,8.1,7.2,4.5,2.3,2.1,1.7,1.4,3.9,2.5,1.8,1.4,0.2,0.1,0.1
BP10,BP13,WEEKDAY,,1.7,2.3,4.6,4.2,4.2,6.4,3.9,4.2,2.6,1.9,1.7,2.9,2.3,2.1,1.1,1.5,1.5,0.7,0.7
BP10,BP13,WEEKENDS/HOLIDAY,,0.3,2.2,4.8,4.8,4.7,8.2,4.2,3.8,3.7,1.6,1.7,3.4,2.7,1.5,0.5,0.5,0.9,0.3,0.2
BP10,BP2,WEEKDAY,,1.7,0.6,1.3,0.4,1.0,0.8,0.5,0.6,0.6,1.1,0.7,0.5,1.2,1.4,0.8,1.2,1.0,1.9,0.5
BP10,BP2,WEEKENDS/HOLIDAY,,1.0,0.2,0.2,0.6,0.4,1.1,0.8,1.3,0.3,0.9,0.3,0.4,0.5,0.6,0.4,1.4,0.5,2.2,0.2
BP10,BP3,WEEKDAY,,0.1,1.6,3.8,1.6,1.4,1.1,1.2,1.1,2.3,1.7,1.5,1.0,1.2,1.6,1.2,2.0,1.1,0.8,0.2
BP10,BP3,WEEKENDS/HOLIDAY,,,0.5,0.5,0.7,0.8,0.7,1.1,1.2,0.9,1.2,0.8,1.2,1.2,1.7,0.5,1.2,0.3,0.9,0.1
