DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,BP10,4279.0,4260.0,21
WEEKDAY,BP11,4508.0,3852.0,21
WEEKDAY,BP12,3891.0,3358.0,21
WEEKDAY,BP13,2059.0,1792.0,21
WEEKDAY,BP2,4144.0,3235.0,21
WEEKDAY,BP3,5091.0,4325.0,21
WEEKDAY,BP4,3247.0,3013.0,21
WEEKDAY,BP5,2644.0,1998.0,21
WEEKDAY,BP6,13219.0,16577.0,21
WEEKDAY,BP7,1911.0,1689.0,21
WEEKDAY,BP8,3142.0,2916.0,21
WEEKDAY,BP9,3282.0,3230.0,21
WEEKDAY,CC1-NE6-NS24,35295.0,33296.0,21
WEEKDAY,CC10,17242.0,16264.0,21
WEEKDAY,CC11,19685.0,20162.0,21
WEEKDAY,CC12,6588.0,5672.0,21
WEEKDAY,CC14,8206.0,7595.0,21
WEEKDAY,CC16,11177.0,10587.0,21
WEEKDAY,CC17,4452.0,4218.0,21
WEEKDAY,CC19,7132.0,7714.0,21
WEEKDAY,CC2,6718.0,7340.0,21
WEEKDAY,CC20,5748.0,5757.0,21
WEEKDAY,CC21,8629.0,9456.0,21
WEEKDAY,CC23,17556.0,17113.0,21
WEEKDAY,CC24,24659.0,24441.0,21
WEEKDAY,CC25,7953.0,7280.0,21
WEEKDAY,CC26,5983.0,6195.0,21
WEEKDAY,CC27,8214.0,8270.0,21
WEEKDAY,CC28,3986.0,4316.0,21
WEEKDAY,CC3,8771.0,8342.0,21
WEEKDAY,CC4-DT15,21063.0,21941.0,21
WEEKDAY,CC5,5698.0,6019.0,21
WEEKDAY,CC6,8550.0,8809.0,21
WEEKDAY,CC7,7649.0,7964.0,21
WEEKDAY,CC8,8830.0,7727.0,21
WEEKDAY,CE1,27783.0,27615.0,21
WEEKDAY,CG1,16648.0,17293.0,21
WEEKDAY,CG2,21709.0,21150.0,21
WEEKDAY,DT1,31128.0,29813.0,21
WEEKDAY,DT10,5548.0,4595.0,21
WEEKDAY,DT11,28635.0,29825.0,21
WEEKDAY,DT13,10233.0,10922.0,21
WEEKDAY,DT17,25508.0,26446.0,21
WEEKDAY,DT18,20029.0,21302.0,21
WEEKDAY,DT2,2952.0,2286.0,21
WEEKDAY,DT20,7395.0,8355.0,21
WEEKDAY,DT21,8186.0,8332.0,21
WEEKDAY,DT22,6871.0,7343.0,21
WEEKDAY,DT23,4961.0,4978.0,21
WEEKDAY,DT24,5521.0,5192.0,21
WEEKDAY,DT25,4084.0,4259.0,21
WEEKDAY,DT27,8073.0,7901.0,21
WEEKDAY,DT28,11212.0,10484.0,21
WEEKDAY,DT29,7440.0,6709.0,21
WEEKDAY,DT3,8042.0,6987.0,21
WEEKDAY,DT30,7790.0,7503.0,21
WEEKDAY,DT31,7915.0,8353.0,21
