PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
BP10,4007.0,4009.0,591
BP11,4183.0,3591.0,600
BP12,3491.0,3051.0,600
BP13,1971.0,1720.0,600
BP14,0.0,0.0,9
BP2,3814.0,3006.0,570
BP3,4713.0,4010.0,570
BP4,2779.0,2571.0,570
BP5,2443.0,1862.0,570
BP6,12408.0,15361.0,600
BP7,1774.0,1586.0,591
BP8,2905.0,2717.0,570
BP9,3120.0,3070.0,570
CC1-NE6-NS24,34794.0,32887.0,600
CC10,15314.0,14441.0,1200
CC11,16508.0,16803.0,600
CC12,5845.0,5104.0,600
CC14,7150.0,6664.0,600
CC16,9754.0,9308.0,600
CC17,3727.0,3561.0,600
CC19,7131.0,7742.0,1200
CC2,6075.0,6594.0,600
CC20,5293.0,5304.0,600
CC21,8127.0,8814.0,600
CC23,13261.0,12934.0,600
CC24,19186.0,19050.0,600
CC25,7046.0,6451.0,600
CC26,5138.0,5313.0,600
CC27,6245.0,6288.0,600
CC28,3673.0,3888.0,600
CC3,9638.0,9231.0,600
CC4-DT15,19215.0,20244.0,600
CC5,5638.0,5987.0,600
CC6,9613.0,9511.0,600
CC7,6980.0,7353.0,600
CC8,8005.0,7159.0,600
CE1,31531.0,31046.0,1200
CG1,15208.0,15725.0,1200
CG2,22825.0,22150.0,600
DT1,29016.0,27909.0,600
DT10,4916.0,4049.0,600
DT11,27378.0,28755.0,600
DT13,9751.0,10384.0,600
DT17,19163.0,19810.0,600
DT18,15248.0,16264.0,600
DT2,2547.0,1961.0,600
DT20,6829.0,7777.0,600
DT21,7462.0,7581.0,600
DT22,7505.0,8040.0,600
DT23,4162.0,4202.0,600
DT24,4958.0,4731.0,600
DT25,3708.0,3827.0,600
DT27,7262.0,7077.0,600
DT28,10233.0,9597.0,600
DT29,6718.0,6074.0,600
DT3,7403.0,6450.0,600
DT30,7086.0,6791.0,600
DT31,7156.0,7559.0,600
DT32,19608.0,20953.0,600
DT33,16899.0,15726.0,600
DT34,4510.0,4163.0,600
DT5,12600.0,12743.0,600
DT6,6411.0,5962.0,600
DT7,3705.0,4397.0,600
DT8,4174.0,4047.0,600
EW1,30610.0,29142.0,600
EW10,12396.0,12810.0,600
EW11,19821.0,20103.0,600
EW12,55176.0,57613.0,1200
EW13-NS25,46998.0,47758.0,600
EW14-NS26,50655.0,49658.0,600
EW15,39675.0,41682.0,600
EW16,26871.0,26412.0,1200
EW17,26800.0,28079.0,600
EW18,16957.0,17385.0,600
EW19,13912.0,13069.0,600
EW2,31858.0,32419.0,600
EW20,14904.0,14325.0,600
EW21,25183.0,23718.0,1200
EW22,8263.0,8506.0,600
EW23,43080.0,43511.0,600
EW24-NS1,76157.0,80665.0,600
EW25,9210.0,8231.0,600
EW26,32323.0,28097.0,600
EW27,48782.0,55036.0,600
EW28,30149.0,23065.0,600
EW29,16185.0,16553.0,600
EW3,17089.0,17397.0,600
EW30,3229.0,2696.0,600
EW31,3771.0,3074.0,600
EW32,3650.0,3663.0,600
EW33,3366.0,3560.0,600
EW4,16110.0,14407.0,600
EW5,33574.0,33135.0,600
EW6,10810.0,12392.0,600
EW7,14206.0,16284.0,600
EW8,44133.0,45312.0,1200
EW9,22929.0,22707.0,600
NE1,48009.0,47551.0,1200
NE10,13903.0,14073.0,600
NE11,5485.0,5094.0,600
NE12,55343.0,57280.0,1200
NE13,20268.0,20280.0,600
NE14,30536.0,29036.0,600
NE15,15906.0,14863.0,600
NE16-STC,41015.0,42291.0,600
NE17-PTC,36580.0,35172.0,600
NE4,53974.0,54136.0,1200
NE5,14658.0,16433.0,600
NE7,28306.0,30558.0,1200
NE8,28312.0,30939.0,600
NE9,21928.0,19522.0,600
NS10,44885.0,38620.0,600
NS11,41761.0,40668.0,600
NS13,54191.0,56513.0,600
NS14,31510.0,27512.0,600
NS15,22579.0,21052.0,600
NS16,48698.0,52094.0,600
NS17,45320.0,43401.0,1200
NS18,14712.0,13328.0,600
NS19,37974.0,39517.0,600
NS2,25678.0,26627.0,600
NS20,38073.0,37756.0,600
NS21,30566.0,33020.0,600
NS22,58685.0,62827.0,600
NS23,34821.0,37597.0,600
NS27,5412.0,5768.0,1200
NS28,1902.0,1814.0,600
NS3,18018.0,16866.0,600
NS4,36261.0,38867.0,1170
NS5,29725.0,28017.0,600
NS7,21889.0,20336.0,600
NS8,24024.0,19036.0,600
NS9,40678.0,49720.0,600
PE1,3342.0,3296.0,600
PE2,5076.0,4723.0,600
PE3,5414.0,5420.0,600
PE4,1418.0,1346.0,600
PE5,4971.0,4613.0,600
PE6,5896.0,5658.0,600
PE7,3683.0,3486.0,600
PW1,743.0,791.0,600
PW3,708.0,726.0,600
PW4,515.0,523.0,600
PW5,2812.0,3102.0,600
PW6,1035.0,874.0,600
PW7,1946.0,2083.0,600
SE1,3957.0,3934.0,600
SE2,5258.0,4847.0,600
SE3,3013.0,2789.0,600
SE4,3458.0,3249.0,600
SE5,2511.0,2523.0,600
SW1,1867.0,1971.0,600
SW2,3562.0,3276.0,600
SW3,2102.0,1984.0,600
SW4,1170.0,1166.0,600
SW5,7067.0,6475.0,600
SW6,3264.0,3049.0,600
SW7,2601.0,2334.0,600
SW8,1928.0,1888.0,600
