,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,196.6,540.2,717.2,424.2,262.0,222.8,202.4,210.4,205.8,160.0,150.5,152.1,193.5,200.4,158.9,106.3,88.7,60.7,26.4,0.6,17.8,74.7,156.7,150.9,152.4,127.7,150.6,157.8,194.2,207.8,220.8,254.4,354.3,594.1,513.8,337.4,262.8,213.4,117.9
BP10,WEEKENDS/HOLIDAY,0.0,94.4,163.7,192.8,235.3,272.8,294.3,279.1,248.8,228.4,199.8,175.8,181.2,194.9,178.1,145.1,112.0,87.3,61.3,28.6,0.0,14.3,44.9,83.3,150.7,197.0,179.6,192.4,194.9,207.7,211.6,196.0,210.7,223.1,265.3,277.0,258.1,210.8,195.2,109.8
BP11,WEEKDAY,0.0,204.3,609.1,831.2,485.8,295.4,219.9,194.4,214.3,194.3,159.7,149.0,154.3,202.3,209.0,140.6,94.8,81.0,50.0,18.2,0.8,11.6,59.5,158.4,100.7,108.9,89.3,108.0,129.6,153.1,162.7,183.6,221.5,325.7,574.2,513.3,342.4,281.3,230.5,96.9
BP11,WEEKENDS/HOLIDAY,0.0,86.3,156.9,213.4,264.6,299.7,295.2,269.1,276.9,228.9,211.2,179.0,172.4,203.0,192.7,141.1,87.6,76.7,50.7,20.1,0.7,6.2,23.0,51.1,89.2,119.1,129.7,152.2,178.6,203.0,178.2,167.6,181.7,221.1,251.2,251.7,240.1,231.4,203.1,101.9
BP12,WEEKDAY,0.0,120.5,405.9,648.4,432.6,221.0,183.9,180.4,197.0,192.6,261.6,182.9,164.2,213.0,194.8,120.5,82.4,50.1,30.4,8.7,0.2,4.5,120.5,471.1,114.4,89.0,82.4,86.9,100.6,136.3,129.1,145.3,166.7,230.3,404.9,377.1,240.1,205.9,173.0,79.2
BP12,WEEKENDS/HOLIDAY,0.0,57.2,107.9,162.1,209.1,220.2,233.7,194.6,203.4,170.3,155.4,118.4,135.7,164.8,145.1,115.1,68.8,50.8,34.1,10.4,0.8,4.2,17.9,70.1,119.3,121.7,132.9,128.9,143.7,143.0,141.1,142.3,141.2,142.8,158.1,168.9,169.8,169.3,146.0,73.6
BP13,WEEKDAY,0.0,87.3,266.0,333.7,221.0,146.4,107.5,92.7,91.3,97.2,78.5,66.8,70.0,109.3,99.6,78.0,45.3,44.9,19.3,4.3,0.2,11.5,25.8,66.4,50.0,47.2,52.0,63.1,72.6,94.3,95.6,97.9,108.6,145.9,234.4,211.2,143.0,121.6,110.7,40.0
BP13,WEEKENDS/HOLIDAY,0.0,37.1,83.3,99.9,155.3,177.7,146.2,123.8,132.9,119.1,96.7,93.8,101.6,108.4,108.2,70.0,41.7,40.6,23.6,5.7,0.3,4.7,11.9,49.7,59.2,66.0,75.0,105.1,103.0,113.8,98.9,98.6,107.4,97.9,105.8,112.9,106.3,103.7,95.6,37.2
BP14,WEEKENDS/HOLIDAY,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP2,WEEKDAY,0.0,126.1,472.9,898.4,644.6,284.3,194.8,171.7,167.6,184.5,128.4,112.8,120.1,165.4,178.4,118.2,70.6,56.5,37.9,11.2,0.0,18.0,69.8,114.0,85.1,61.6,54.5,70.3,96.0,125.9,124.1,146.0,177.6,245.1,476.6,458.6,303.9,271.1,244.4,92.7
BP2,WEEKENDS/HOLIDAY,0.0,51.0,131.6,188.4,250.2,258.9,267.6,240.2,238.3,214.8,185.2,167.8,170.2,179.6,179.2,129.8,73.7,54.9,47.7,13.8,0.0,9.6,24.9,35.1,67.4,83.1,89.8,101.8,133.4,150.8,163.3,159.8,139.2,174.4,205.4,204.4,204.2,218.6,222.7,84.3
BP3,WEEKDAY,0.0,150.3,627.4,1086.5,719.8,318.8,227.1,217.6,192.1,172.0,151.0,139.3,164.0,237.6,230.1,177.7,105.7,88.7,63.3,21.7,0.0,6.6,63.2,116.6,108.6,85.6,80.0,104.2,122.5,162.4,215.6,225.1,243.0,383.9,684.7,630.7,381.6,327.5,272.3,110.7
BP3,WEEKENDS/HOLIDAY,0.0,71.9,153.3,222.6,301.1,309.6,313.1,314.7,296.1,275.6,226.8,196.2,212.0,242.1,236.1,178.0,108.0,84.6,63.7,24.9,0.0,4.2,25.0,52.0,83.9,97.4,98.7,136.1,169.3,204.9,220.2,220.6,223.4,252.6,286.4,294.0,280.0,274.7,241.4,111.7
BP4,WEEKDAY,0.0,63.6,226.9,371.4,257.8,135.6,116.0,165.3,172.8,148.4,187.8,214.4,322.9,344.7,183.8,103.9,83.0,85.4,51.6,12.3,0.0,13.4,46.4,213.5,365.8,282.0,151.9,93.0,150.1,167.9,120.3,108.9,117.0,168.4,275.0,251.6,165.4,144.0,127.7,51.3
BP4,WEEKENDS/HOLIDAY,0.0,36.9,69.2,96.4,115.7,131.0,125.3,130.2,126.2,111.7,103.6,103.4,109.2,104.2,102.7,78.7,56.6,43.9,30.9,9.7,0.0,8.7,25.3,41.9,76.0,69.9,54.0,69.9,86.6,93.1,90.7,89.6,90.9,116.4,109.7,119.6,110.0,114.4,118.7,52.0
BP5,WEEKDAY,0.0,47.0,218.4,370.1,222.6,135.1,106.4,104.0,125.8,119.0,103.4,118.3,130.1,204.7,205.7,151.0,102.6,87.7,69.0,23.2,0.0,20.3,88.0,152.2,135.7,85.0,65.1,68.8,80.3,92.4,100.1,96.2,111.0,144.0,222.4,183.0,124.6,110.8,81.9,36.1
BP5,WEEKENDS/HOLIDAY,0.0,27.7,52.3,79.4,107.0,135.2,132.2,143.9,154.9,146.6,126.0,127.1,107.8,131.4,133.7,115.0,85.3,74.3,70.2,23.7,0.0,13.4,33.0,55.8,74.2,75.8,97.7,91.0,103.6,106.1,94.7,83.8,96.0,95.0,114.9,100.2,102.7,94.4,79.2,31.3
BP6,WEEKDAY,0.0,28.9,257.6,494.4,374.6,272.1,255.6,328.4,438.5,532.1,584.5,622.3,754.8,1078.3,1916.6,1911.3,1211.1,1006.4,865.0,286.0,0.1,508.7,1316.2,2837.0,2412.0,1117.1,771.2,753.0,706.6,747.6,690.5,626.1,606.4,815.6,1055.9,690.4,379.5,280.8,190.6,71.3
BP6,WEEKENDS/HOLIDAY,0.0,18.8,70.0,167.2,245.6,302.3,347.6,455.2,562.9,688.2,688.7,671.7,740.9,782.9,923.4,952.2,894.7,894.8,820.6,287.7,0.2,210.3,437.6,617.6,843.2,974.4,1022.4,965.4,987.4,929.6,836.0,763.7,710.9,850.0,836.9,620.9,387.9,260.7,189.4,80.1
BP7,WEEKDAY,0.0,79.5,231.8,347.2,204.8,112.2,87.0,86.0,80.0,79.3,76.9,67.9,71.5,94.2,100.3,69.0,47.8,41.2,26.1,8.5,0.0,22.2,38.3,76.2,48.8,52.1,54.0,57.9,70.0,97.7,98.4,92.5,103.4,135.5,207.4,173.5,126.1,105.0,94.0,35.5
BP7,WEEKENDS/HOLIDAY,0.0,38.4,55.7,89.1,105.1,124.7,126.4,109.6,110.1,106.4,79.3,79.7,78.8,84.8,75.0,59.9,49.1,44.0,27.6,11.7,0.0,12.0,14.7,26.7,49.7,64.0,70.6,91.2,89.1,99.6,90.9,87.4,86.1,83.8,90.6,95.6,86.2,87.8,83.7,35.8
