DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,129.0,20
WEEKDAY,BP10,BP12,179.0,20
WEEKDAY,BP10,BP13,119.0,20
WEEKDAY,BP10,BP14,9.0,20
WEEKDAY,BP10,BP2,53.0,20
WEEKDAY,BP10,BP3,75.0,20
WEEKDAY,BP10,BP4,69.0,20
WEEKDAY,BP10,BP5,162.0,20
WEEKDAY,BP10,BP6,1478.0,20
WEEKDAY,BP10,BP7,157.0,20
WEEKDAY,BP10,BP8,535.0,20
WEEKDAY,BP10,BP9,277.0,20
WEEKDAY,BP10,CC1-NE6-NS24,0.0,20
WEEKDAY,BP10,CC10,0.0,20
WEEKDAY,BP10,CC11,0.0,20
WEEKDAY,BP10,CC12,0.0,20
WEEKDAY,BP10,CC16,1.0,20
WEEKDAY,BP10,CC17,0.0,20
WEEKDAY,BP10,CC19,0.0,20
WEEKDAY,BP10,CC2,0.0,20
WEEKDAY,BP10,CC20,0.0,20
WEEKDAY,BP10,CC21,1.0,20
WEEKDAY,BP10,CC23,1.0,20
WEEKDAY,BP10,CC24,6.0,20
WEEKDAY,BP10,CC25,1.0,20
WEEKDAY,BP10,CC26,1.0,20
WEEKDAY,BP10,CC27,0.0,20
WEEKDAY,BP10,CC3,0.0,20
WEEKDAY,BP10,CC4-DT15,1.0,20
WEEKDAY,BP10,CC5,0.0,20
WEEKDAY,BP10,CC6,1.0,20
WEEKDAY,BP10,CC7,0.0,20
WEEKDAY,BP10,CC8,0.0,20
WEEKDAY,BP10,CE1,1.0,20
WEEKDAY,BP10,CG1,0.0,20
WEEKDAY,BP10,CG2,1.0,20
WEEKDAY,BP10,DT1,0.0,20
WEEKDAY,BP10,DT10,0.0,20
WEEKDAY,BP10,DT11,3.0,20
WEEKDAY,BP10,DT13,2.0,20
WEEKDAY,BP10,DT17,1.0,20
WEEKDAY,BP10,DT18,1.0,20
WEEKDAY,BP10,DT2,0.0,20
WEEKDAY,BP10,DT21,0.0,20
WEEKDAY,BP10,DT23,0.0,20
WEEKDAY,BP10,DT25,0.0,20
WEEKDAY,BP10,DT28,0.0,20
WEEKDAY,BP10,DT29,0.0,20
WEEKDAY,BP10,DT3,1.0,20
WEEKDAY,BP10,DT30,0.0,20
WEEKDAY,BP10,DT32,1.0,20
