,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,138.0,431.0,503.0,239.0,178.0,150.0,139.0,150.0,167.0,124.0,121.0,125.0,150.0,164.0,112.0,71.0,58.0,41.0,11.0
WEEKDAY,BP10,BP9,,62.0,150.0,187.0,106.0,43.0,9.0,9.0,11.0,10.0,11.0,8.0,12.0,49.0,55.0,32.0,8.0,2.0,3.0,1.0
WEEKDAY,BP11,BP10,,30.0,96.0,140.0,79.0,30.0,5.0,5.0,9.0,8.0,10.0,5.0,10.0,39.0,35.0,23.0,4.0,1.0,1.0,1.0
WEEKDAY,BP11,BP12,,281.0,864.0,954.0,456.0,315.0,236.0,224.0,244.0,261.0,184.0,187.0,180.0,223.0,257.0,160.0,96.0,75.0,50.0,15.0
WEEKDAY,BP12,BP11,,22.0,104.0,148.0,114.0,59.0,36.0,44.0,74.0,89.0,107.0,118.0,153.0,285.0,314.0,224.0,138.0,123.0,70.0,17.0
WEEKDAY,BP12,BP13,,368.0,1105.0,1186.0,618.0,386.0,290.0,287.0,359.0,398.0,341.0,279.0,312.0,342.0,339.0,187.0,111.0,92.0,50.0,16.0
WEEKDAY,BP13,BP12,,21.0,260.0,349.0,150.0,75.0,50.0,67.0,107.0,128.0,157.0,174.0,226.0,428.0,489.0,350.0,200.0,174.0,113.0,26.0
WEEKDAY,BP13,DT1,,437.0,1277.0,1337.0,706.0,445.0,328.0,323.0,395.0,422.0,368.0,300.0,328.0,376.0,375.0,201.0,117.0,99.0,51.0,16.0
WEEKDAY,BP2,BP3,,304.0,993.0,1612.0,1237.0,853.0,546.0,532.0,721.0,672.0,682.0,679.0,834.0,1404.0,1528.0,817.0,653.0,525.0,317.0,44.0
WEEKDAY,BP2,NS4,,487.0,1753.0,1883.0,925.0,576.0,487.0,614.0,724.0,680.0,763.0,851.0,1033.0,1287.0,1136.0,679.0,511.0,487.0,327.0,102.0
WEEKDAY,BP3,BP2,,459.0,1630.0,1666.0,824.0,525.0,461.0,595.0,712.0,676.0,798.0,891.0,1073.0,1349.0,1221.0,754.0,579.0,561.0,383.0,115.0
WEEKDAY,BP3,BP4,,356.0,1158.0,1819.0,1347.0,913.0,578.0,552.0,725.0,644.0,631.0,618.0,772.0,1300.0,1394.0,731.0,563.0,454.0,282.0,43.0
WEEKDAY,BP4,BP3,,395.0,1371.0,1372.0,693.0,452.0,412.0,550.0,666.0,684.0,830.0,911.0,1078.0,1374.0,1303.0,829.0,639.0,615.0,419.0,127.0
WEEKDAY,BP4,BP5,,371.0,1206.0,1611.0,1072.0,723.0,541.0,561.0,656.0,639.0,655.0,691.0,889.0,1374.0,1356.0,707.0,539.0,447.0,271.0,41.0
WEEKDAY,BP5,BP4,,375.0,1300.0,1429.0,849.0,527.0,409.0,462.0,585.0,656.0,741.0,725.0,789.0,1169.0,1332.0,874.0,665.0,618.0,441.0,134.0
WEEKDAY,BP5,DT1,,374.0,1296.0,1726.0,1109.0,754.0,577.0,590.0,693.0,665.0,687.0,736.0,924.0,1410.0,1399.0,744.0,558.0,450.0,276.0,46.0
WEEKDAY,BP7,BP8,,34.0,331.0,377.0,232.0,154.0,148.0,154.0,208.0,242.0,283.0,317.0,382.0,524.0,573.0,395.0,300.0,254.0,174.0,46.0
WEEKDAY,BP7,DT1,,209.0,454.0,528.0,260.0,147.0,109.0,114.0,132.0,155.0,216.0,148.0,116.0,165.0,174.0,107.0,62.0,35.0,26.0,3.0
WEEKDAY,BP8,BP7,,149.0,339.0,385.0,199.0,128.0,104.0,105.0,122.0,143.0,202.0,139.0,109.0,146.0,157.0,96.0,55.0,35.0,24.0,2.0
